"participant","id","nBlock","nSubBlock","map","technique","cameraTransition","renderingOrder","training","errorCount","timeFromStart","timeFromStreet","streetCount","firstAnswerFromStart","firstAnswerFromStreet","timeout","firstErrorMeasure","meanErrorMeasure"
"0",0,0,0,12,"Draggo","ZF","CF",true,0,53.808,18.759,1,53.808,18.759,false,0,0
"0",1,0,0,27,"Draggo","ZF","CF",false,1,21.665,10.826,1,16.606,5.767,false,0.5101173325607758,0.5101173325607758
"0",2,0,0,5,"Draggo","ZF","CF",false,6,30.365,17.551,1,15.157,2.343,false,0.501037157336191,0.5777229674268111
"0",3,0,0,10,"Draggo","ZF","CF",false,0,20.468,5.711,1,20.468,5.711,false,0,0
"0",4,0,1,58,"Draggo","RF","CF",true,0,9.079,2.6,1,9.079,2.6,false,0,0
"0",5,0,1,14,"Draggo","RF","CF",false,1,8.925,2.674,1,7.114,0.863,false,0.2627395341572572,0.2627395341572572
"0",6,0,1,28,"Draggo","RF","CF",false,5,17.271,10.191,1,9.471,2.391,false,0.3974012385710897,0.5824256519271437
"0",7,0,1,43,"Draggo","RF","CF",false,0,13.108,3.302,1,13.108,3.302,false,0,0
"0",8,0,2,31,"Draggo","RF","Coupled",true,0,16.037,3.944,1,16.037,3.944,false,0,0
"0",9,0,2,23,"Draggo","RF","Coupled",false,2,14.583,5.406,1,11.584,2.407,false,0.3153450504980039,0.44079516850414024
"0",10,0,2,30,"Draggo","RF","Coupled",false,2,21.307,11.86,1,12.803,3.356,false,0.15339233254699733,0.25839290403989434
"0",11,0,2,54,"Draggo","RF","Coupled",false,0,9.866,1.509,1,9.866,1.509,false,0,0
"0",12,0,3,44,"Draggo","ZF","RF",true,1,14.414,4.985,1,12.941,3.512,false,0.6988633617158122,0.6988633617158122
"0",13,0,3,3,"Draggo","ZF","RF",false,2,17.169,6.164,1,12.845,1.84,false,0.6592039606557968,0.46620682225180327
"0",14,0,3,26,"Draggo","ZF","RF",false,4,23.126,14.247,1,10.771,1.892,false,0.3921603276305985,0.20507048420055224
"0",15,0,3,34,"Draggo","ZF","RF",false,1,16.185,7.833,1,11.817,3.465,false,0.3821789161482079,0.3821789161482079
"0",16,0,4,9,"Draggo","ZF","Coupled",true,2,18.37,6.302,1,14.377,2.309,false,0.6142247988369749,0.4150783120829924
"0",17,0,4,49,"Draggo","ZF","Coupled",false,1,13.886,5.054,1,10.697,1.865,false,0.565426917986712,0.565426917986712
"0",18,0,4,52,"Draggo","ZF","Coupled",false,1,13.796,3.378,1,11.541,1.123,false,0.11144179444060925,0.11144179444060925
"0",19,0,4,40,"Draggo","ZF","Coupled",false,2,17.204,5.251,1,13.608,1.655,false,0.3371631890213835,0.27436252475642114
"0",20,0,5,13,"Draggo","RF","RF",true,1,13.881,2.401,1,12.16,0.68,false,0.234026238829047,0.234026238829047
"0",21,0,5,50,"Draggo","RF","RF",false,0,16.47,1.902,1,16.47,1.902,false,0,0
"0",22,0,5,21,"Draggo","RF","RF",false,0,19.891,2.586,1,19.891,2.586,false,0,0
"0",23,0,5,6,"Draggo","RF","RF",false,9,51.838,40.568,2,12.863,1.593,false,0.9851006941088035,0.7222582276585251
"0",24,1,0,33,"Goto","RF","RF",true,9,57.799,38.002,2,21.912,2.115,false,0.3794591581719394,0.6438151444534661
"0",25,1,0,56,"Goto","RF","RF",false,0,12.834,2.297,1,12.833,2.296,false,0,0
"0",26,1,0,35,"Goto","RF","RF",false,0,14.268,2.053,1,14.268,2.053,false,0,0
"0",27,1,0,17,"Goto","RF","RF",false,0,14.247,2.383,1,14.247,2.383,false,0,0
"0",28,1,1,22,"Goto","RF","Coupled",true,0,14.519,1.581,1,14.519,1.581,false,0,0
"0",29,1,1,1,"Goto","RF","Coupled",false,1,13.296,3.127,1,11.496,1.327,false,0.48047221642497584,0.48047221642497584
"0",30,1,1,42,"Goto","RF","Coupled",false,0,13.083,1.986,1,13.083,1.986,false,0,0
"0",31,1,1,46,"Goto","RF","Coupled",false,0,23.498,1.94,1,23.497,1.939,false,0,0
"0",32,1,2,51,"Goto","ZF","CF",true,0,10.504,1.846,1,10.504,1.846,false,0,0
"0",33,1,2,32,"Goto","ZF","CF",false,0,17.734,2.61,1,17.734,2.61,false,0,0
"0",34,1,2,15,"Goto","ZF","CF",false,4,21.989,12.536,1,11.336,1.883,false,0.3458075125384951,0.38020662370387326
"0",35,1,2,47,"Goto","ZF","CF",false,1,16.892,3.068,1,15.294,1.47,false,0.2094703127399557,0.2094703127399557
"0",36,1,3,20,"Goto","RF","CF",true,0,14.633,2.405,1,14.633,2.405,false,0,0
"0",37,1,3,24,"Goto","RF","CF",false,0,13.296,2.91,1,13.296,2.91,false,0,0
"0",38,1,3,2,"Goto","RF","CF",false,0,14.864,2.637,1,14.863,2.636,false,0,0
"0",39,1,3,53,"Goto","RF","CF",false,0,11.712,1.731,1,11.712,1.731,false,0,0
"0",40,1,4,4,"Goto","ZF","Coupled",true,0,15.293,2.401,1,15.293,2.401,false,0,0
"0",41,1,4,55,"Goto","ZF","Coupled",false,0,20.299,2.912,1,20.299,2.912,false,0,0
"0",42,1,4,29,"Goto","ZF","Coupled",false,0,15.544,2.414,1,15.544,2.414,false,0,0
"0",43,1,4,25,"Goto","ZF","Coupled",false,2,16.883,7.05,1,11.631,1.798,false,0.5030212685576474,0.38871674662426925
"0",44,1,5,8,"Goto","ZF","RF",true,0,14.718,2.819,1,14.718,2.819,false,0,0
"0",45,1,5,7,"Goto","ZF","RF",false,0,11.194,1.444,1,11.194,1.444,false,0,0
"0",46,1,5,41,"Goto","ZF","RF",false,5,64.923,53.443,2,12.343,0.863,false,0.8555770628433301,0.8125246501593348
"0",47,1,5,11,"Goto","ZF","RF",false,2,13.956,4.279,1,10.86,1.183,false,0.19710291951197656,0.5118205730644951
"1",0,0,0,12,"Draggo","RF","CF",true,4,201.534,177.41,3,174.226,150.102,false,0.3271988158683623,0.2623593816196109
"1",1,0,0,27,"Draggo","RF","CF",false,0,31.291,15.296,1,31.291,15.296,false,0,0
"1",2,0,0,5,"Draggo","RF","CF",false,0,18.812,2.535,1,18.812,2.535,false,0,0
"1",3,0,0,10,"Draggo","RF","CF",false,1,11.234,5.634,1,7.912,2.312,false,0.37609599941732447,0.37609599941732447
"1",4,0,1,58,"Draggo","ZF","RF",true,0,19.926,2.389,1,19.926,2.389,false,0,0
"1",5,0,1,14,"Draggo","ZF","RF",false,0,17.308,11.479,2,17.308,11.479,false,0,0
"1",6,0,1,28,"Draggo","ZF","RF",false,0,51.665,30.254,2,51.664,30.253,false,0,0
"1",7,0,1,43,"Draggo","ZF","RF",false,0,27.996,7.787,1,27.996,7.787,false,0,0
"1",8,0,2,31,"Draggo","ZF","CF",true,0,32.316,22.41,2,32.316,22.41,false,0,0
"1",9,0,2,23,"Draggo","ZF","CF",false,1,53.306,39.9,2,15.899,2.494,false,0.3153450504980039,0.3153450504980039
"1",10,0,2,30,"Draggo","ZF","CF",false,0,43.31,20.031,1,43.31,20.031,false,0,0
"1",11,0,2,54,"Draggo","ZF","CF",false,0,10.159,2.781,1,10.159,2.781,false,0,0
"1",12,0,3,44,"Draggo","RF","RF",true,0,7.452,2.365,1,7.452,2.365,false,0,0
"1",13,0,3,3,"Draggo","RF","RF",false,4,52.047,31.575,2,30.665,10.193,false,0.591547657239153,0.5967605352550857
