"participant","technique","cameraTransition","renderingOrder","difficulty"
"0","Draggo","ZF","CF","3"
"0","Draggo","RF","CF","3"
"0","Draggo","RF","Coupled","2"
"0","Draggo","ZF","RF","3"
"0","Draggo","ZF","Coupled","3"
"0","Draggo","RF","RF","5"
"0","Goto","RF","RF","1"
"0","Goto","RF","Coupled","1"
"0","Goto","ZF","CF","1"
"0","Goto","RF","CF","1"
"0","Goto","ZF","Coupled","2"
"0","Goto","ZF","RF","4"
"1","Draggo","RF","CF","4"
"1","Draggo","ZF","RF","3"
"1","Draggo","ZF","CF","3"
"1","Draggo","RF","RF","2"
"1","Draggo","RF","Coupled","3"
"1","Draggo","ZF","Coupled","3"
"1","Goto","RF","Coupled","4"
"1","Goto","RF","CF","2"
"1","Goto","RF","RF","3"
"1","Goto","ZF","RF","2"
"1","Goto","ZF","CF","2"
"1","Goto","ZF","Coupled","2"
"10","Draggo","ZF","Coupled","3"
"10","Draggo","RF","Coupled","2"
"10","Draggo","RF","RF","2"
"10","Draggo","ZF","CF","3"
"10","Draggo","ZF","RF","2"
"10","Draggo","RF","CF","2"
"10","Goto","ZF","Coupled","1"
"10","Goto","ZF","CF","1"
"10","Goto","ZF","RF","1"
"10","Goto","RF","RF","2"
"10","Goto","RF","CF","3"
"10","Goto","RF","Coupled","2"
"11","Draggo","RF","Coupled","2"
"11","Draggo","ZF","CF","4"
"11","Draggo","ZF","Coupled","3"
"11","Draggo","RF","CF","4"
"11","Draggo","RF","RF","3"
"11","Draggo","ZF","RF","2"
"11","Goto","ZF","CF","2"
"11","Goto","RF","RF","1"
"11","Goto","ZF","Coupled","3"
"11","Goto","RF","Coupled","1"
"11","Goto","ZF","RF","2"
"11","Goto","RF","CF","2"
"12","Goto","ZF","CF","2"
"12","Goto","RF","CF","3"
"12","Goto","RF","Coupled","3"
"12","Goto","ZF","RF","3"
"12","Goto","ZF","Coupled","3"
"12","Goto","RF","RF","4"
"12","Draggo","RF","RF","4"
"12","Draggo","RF","Coupled","3"
"12","Draggo","ZF","CF","3"
"12","Draggo","RF","CF","3"
"12","Draggo","ZF","Coupled","3"
"12","Draggo","ZF","RF","3"
